Posição;Categoria;Modelo de Negócio;Tema;Questão;Alternativas;Nota;Gabarito
C-Level;Estratégia & Conselho ;Manufatura ;S&OP e previsibilidade de demanda;"Seu Conselho cobrou previsibilidade de margem para 1º semestre. O forecast falhou 3 ciclos; o Diretor Industrial propõe “reforçar reuniões S&OP”. Qual KR você aprova?";Elevar acurácia de forecast M+1 de 62%→78% até 30/06/2026, travando S&OP na W1 e aplicando corte automático de variações >8% na W2.;10;Ótimo. Amarra resultado mensurável (acurácia) a uma janela de decisão (W1/W2) que antecipa desvios. Dá previsibilidade ao Conselho e liga ritual → ação → impacto no mesmo ciclo.
C-Level;Estratégia & Conselho ;Manufatura ;S&OP e previsibilidade de demanda;"Seu Conselho cobrou previsibilidade de margem para 1º semestre. O forecast falhou 3 ciclos; o Diretor Industrial propõe “reforçar reuniões S&OP”. Qual KR você aprova?";Rever agenda de S&OP até 31/01/2026, formalizando pautas e ampliando presença das áreas, com relatórios executivos ao final de cada mês.;6;"Poderia ser melhor pois você fortalece o ritual, mas não garante melhoria na acurácia; faltam meta e gatilho para corrigir variações."
C-Level;Estratégia & Conselho ;Manufatura ;S&OP e previsibilidade de demanda;"Seu Conselho cobrou previsibilidade de margem para 1º semestre. O forecast falhou 3 ciclos; o Diretor Industrial propõe “reforçar reuniões S&OP”. Qual KR você aprova?";Padronizar premissas de forecast até 31/01/2026, alinhando bases comerciais e industriais e divulgando o balanço de premissas a cada fechamento.;2;Não foi a melhor escolha. Harmoniza premissas (importante), porém não fixa alvo de precisão nem cutoff para replanejar.
C-Level;Estratégia & Conselho ;Manufatura ;S&OP e previsibilidade de demanda;"Seu Conselho cobrou previsibilidade de margem para 1º semestre. O forecast falhou 3 ciclos; o Diretor Industrial propõe “reforçar reuniões S&OP”. Qual KR você aprova?";Consolidar um cockpit mensal até 31/01/2026, exibindo demanda e produção por linha, bem como desvios, para discussão com diretores.;0;Visualização ajuda, mas sem KR de acurácia e prazos de decisão, o cockpit vira acompanhamento, não previsibilidade.
C-Level;Estratégia & Conselho ;E-commerce ;devoluções e pressão de margem;"As devoluções cresceram 28% no trimestre, estourando custos de logística reversa; o CMO sugere “mais campanhas de reputação”. O Conselho quer defesa de margem. Qual KR você sugere?";Reduzir taxa de devolução pós-entrega de 8,4%→5,5% até 30/06/2026, com verificação fotográfica pré-envio em 100% das ordens high-risk até 31/03/2026.;10;Muito bom! Ataca a causa operacional (não só percepção), com meta financeira (devolução↓) e alavanca concreta (triagem high-risk). Preserva margem.
C-Level;Estratégia & Conselho ;E-commerce ;devoluções e pressão de margem;"As devoluções cresceram 28% no trimestre, estourando custos de logística reversa; o CMO sugere “mais campanhas de reputação”. O Conselho quer defesa de margem. Qual KR você sugere?";Aumentar conteúdos de reputação até 31/03/2026, com calendário editorial quinzenal e relatórios de sentimento nas principais categorias de alto volume.;6;Não tão bom. Ajuda reputação, mas não reduz as ocorrências e o custo permanece.
C-Level;Estratégia & Conselho ;E-commerce ;devoluções e pressão de margem;"As devoluções cresceram 28% no trimestre, estourando custos de logística reversa; o CMO sugere “mais campanhas de reputação”. O Conselho quer defesa de margem. Qual KR você sugere?";Publicar selo de qualidade em páginas críticas até 31/01/2026, reforçando confiança e agrupando FAQs e avaliações verificadas por produto.;2;Sinaliza qualidade, porém sem meta de devolução nem triagem preventiva.
C-Level;Estratégia & Conselho ;E-commerce ;devoluções e pressão de margem;"As devoluções cresceram 28% no trimestre, estourando custos de logística reversa; o CMO sugere “mais campanhas de reputação”. O Conselho quer defesa de margem. Qual KR você sugere?";Intensificar comunicação de trocas até 31/01/2026, com e-mails transacionais e fluxos automatizados para orientar clientes após a compra.;0;"Educa no pós-venda; tarde para reduzir a incidência."
C-Level;Estratégia & Conselho ;Multi-frentes ;portfólio e choque macro;"Mudança macro alterou premissas de 30% do plano; áreas pedem “mais verba”. O Conselho quer valor. Qual KR adotar para os próximos ciclos?";Repriorizar 100% do portfólio até 31/01/2026, realocando 12% do OPEX para iniciativas com ROI≥18% e congelando projetos com NPV negativo em gates de fevereiro.;10;Preciso! Direciona capital para valor (ROI/NPV), com percentual claro e janela de gate, evita cortes cegos e acelera payback.
C-Level;Estratégia & Conselho ;Multi-frentes ;portfólio e choque macro;"Mudança macro alterou premissas de 30% do plano; áreas pedem “mais verba”. O Conselho quer valor. Qual KR adotar para os próximos ciclos?";Revisar orçamento por diretoria até 31/01/2026, aplicando corte linear de 12% e reavaliando ROI em comitês mensais ao longo do semestre.;6;Corte linear traz velocidade, mas desalinha valor e posterga a decisão de realocar.
