id_pergunta,Posição,Categoria,Modelo de Negócio,Tema,Questão
16,C-Level,Estratégia & Conselho,Manufatura,S&OP e previsibilidade de demanda,Seu Conselho cobrou previsibilidade de margem para 1º semestre. O forecast falhou 3 ciclos; o Diretor Industrial propõe “reforçar reuniões S&OP”. Qual KR você aprova?
12,C-Level,Estratégia & Conselho,E-commerce,devoluções e pressão de margem,"As devoluções cresceram 28% no trimestre, estourando custos de logística reversa; o CMO sugere “mais campanhas de reputação”. O Conselho quer defesa de margem. Qual KR você sugere?"
18,C-Level,Estratégia & Conselho,Multi-frentes,portfólio e choque macro,Mudança macro alterou premissas de 30% do plano; áreas pedem “mais verba”. O Conselho quer valor. Qual KR adotar para os próximos ciclos?
14,C-Level,Cadência de Execução,Manufatura,"manutenção, paradas e OEE",Três paradas não planejadas afetaram OEE; o Gerente de Manutenção quer “trocar mais peças preventivamente”. O board pede continuidade. Qual KR é ideal a se adotar?
10,C-Level,Cadência de Execução,E-commerce,"picos, backlog e SLA","Em duas datas de pico, backlog de picking passou de 18h; o COO quer “mais temporários”. O CFO exige SLA. Qual KR age melhor na situação?"
17,C-Level,Dados & Orçamento,Multi-frentes,FinOps e nuvem fora do orçamento,Os gastos de cloud subiram 31% fora do budget; TI propõe “reservar mais instâncias quando possível”. O Conselho exige disciplina. Qual melhor KR a se propor?
15,C-Level,Dados & Orçamento,Manufatura,"MRP, dados-mestres e aderência de estoque",Divergência entre sistema e físico gerou compras desnecessárias. O PCP quer “ciclos mais longos de inventário”. CFO exige acurácia. Qual KR espera você receber para aprovação?
11,C-Level,Dados & Orçamento,E-commerce,"fraude, chargeback e ROAS",Chargebacks subiram 55% enquanto ROAS caiu; o CFO ameaça cortar mídia. O CMO quer “defender investimento”. Qual proposta de resultado melhor para o cenário?
19,C-Level,Rituais & Governança,Multi-frentes,risco e portões de decisão,Dois projetos críticos escalaram risco sem reação; o PMO quer “relatórios mais completos”. O Conselho pede portões. Quais dos KRs você aprova diante da situação?
13,C-Level,Rituais & Governança,E-commerce,incidentes e resposta,Dois incidentes P1 derrubaram checkout; o CIO propõe “melhorar alertas”. O board exige continuidade. Qual melhor KR para os próximos ciclos?
