id_alternativa,id_pergunta,Alternativas,Nota,Gabarito
29,16,"Elevar acurácia de forecast M+1 de 62%→78% até 30/06/2026, travando S&OP na W1 e aplicando corte automático de variações >8% na W2.",10,Ótimo. Amarra resultado mensurável (acurácia) a uma janela de decisão (W1/W2) que antecipa desvios. Dá previsibilidade ao Conselho e liga ritual → ação → impacto no mesmo ciclo.
31,16,"Rever agenda de S&OP até 31/01/2026, formalizando pautas e ampliando presença das áreas, com relatórios executivos ao final de cada mês.",6,"Poderia ser melhor pois você fortalece o ritual, mas não garante melhoria na acurácia; faltam meta e gatilho para corrigir variações."
30,16,"Padronizar premissas de forecast até 31/01/2026, alinhando bases comerciais e industriais e divulgando o balanço de premissas a cada fechamento.",2,"Não foi a melhor escolha. Harmoniza premissas (importante), porém não fixa alvo de precisão nem cutoff para replanejar."
28,16,"Consolidar um cockpit mensal até 31/01/2026, exibindo demanda e produção por linha, bem como desvios, para discussão com diretores.",0,"Visualização ajuda, mas sem KR de acurácia e prazos de decisão, o cockpit vira acompanhamento, não previsibilidade."
15,12,"Reduzir taxa de devolução pós-entrega de 8,4%→5,5% até 30/06/2026, com verificação fotográfica pré-envio em 100% das ordens high-risk até 31/03/2026.",10,"Muito bom! Ataca a causa operacional (não só percepção), com meta financeira (devolução↓) e alavanca concreta (triagem high-risk). Preserva margem."
12,12,"Aumentar conteúdos de reputação até 31/03/2026, com calendário editorial quinzenal e relatórios de sentimento nas principais categorias de alto volume.",6,"Não tão bom. Ajuda reputação, mas não reduz as ocorrências e o custo permanece."
14,12,"Publicar selo de qualidade em páginas críticas até 31/01/2026, reforçando confiança e agrupando FAQs e avaliações verificadas por produto.",2,"Sinaliza qualidade, porém sem meta de devolução nem triagem preventiva."
13,12,"Intensificar comunicação de trocas até 31/01/2026, com e-mails transacionais e fluxos automatizados para orientar clientes após a compra.",0,Educa no pós-venda; tarde para reduzir a incidência.
38,18,"Repriorizar 100% do portfólio até 31/01/2026, realocando 12% do OPEX para iniciativas com ROI≥18% e congelando projetos com NPV negativo em gates de fevereiro.",10,"Preciso! Direciona capital para valor (ROI/NPV), com percentual claro e janela de gate, evita cortes cegos e acelera payback."
39,18,"Revisar orçamento por diretoria até 31/01/2026, aplicando corte linear de 12% e reavaliando ROI em comitês mensais ao longo do semestre.",6,"Corte linear traz velocidade, mas desalinha valor e posterga a decisão de realocar."
37,18,"Reforçar iniciativas vigentes até 30/06/2026, mantendo continuidade e limitando novos projetos a aprovações extraordinárias do executivo pleno.",2,"Conserva o que existe, porém não otimiza retorno."
36,18,"Gerar relatório econômico até 31/01/2026, comparando cenários e propondo ajustes em alocação para deliberação colegiada do Conselho.",0,Diagnostica sem mecanismo de alocação com data.
23,14,"Reduzir MTBF crítico de 46h→70h até 30/06/2026 e elevar OEE de 71%→78% no 2º tri/2026, com revisão quinzenal e plano D+7 para desvios.",10,"Excelente! Foca continuidade com métricas-fim (MTBF/OEE), baseline, metas e cadência corretiva. É o que reduz paradas “com data”"
20,14,"Aumentar manutenções preventivas até 31/03/2026, com calendário atualizado, priorizando equipamentos com maior histórico de falhas.",6,"Ação importante, mas meio; sem alvo de desempenho o ganho fica incerto."
21,14,"Criar checklists padronizados até 31/01/2026, treinando equipes por turno e auditando 1x/mês a aderência aos procedimentos propostos.",2,"Padrão e treino são base, porém falta meta de resultado."
22,14,"Gerar relatórios semanais de falhas até 30/06/2026, com tendências e recomendações para análise executiva nas reuniões operacionais.",0,Monitorar é necessário; agir com meta é o que muda o cenário.
7,10,"Reduzir backlog de picking >8h para ≤2h até 31/05/2026 e elevar OTIF de despacho a ≥96% no 2º tri/2026, com revisão semanal e plano D+7.",10,Define SLA de execução (backlog/OTIF) e cria reação no ciclo (revisão semanal + D+7). Dá previsibilidade de pico.
5,10,"Contratar 25% de temporários até 31/01/2026, reforçando turnos e divulgando indicadores operacionais quinzenais por célula e categoria.",6,"Reforço de equipe ajuda, mas sem SLA e meta, o ganho varia."
4,10,"Ajustar janelas de corte até 31/01/2026, alinhando promessas por canal e apresentando consolidados mensais na diretoria executiva.",2,Ajusta promessas; falta resultado operacional explícito.
6,10,"Implementar WMS avançado até 30/06/2026, integrando rotas e ondas e publicando relatórios de produtividade por período.",0,Tecnologia sem meta de desempenho pode não capturar valor a tempo.
35,17,"Reduzir custo unitário de cloud (R$/req) em 18% até 30/06/2026 e manter spend mensal ≤ orçamento +3%, com cut automático de workloads <P90 de eficiência.",10,"Perfeito! Traz meta econômica direta (R$/req + teto de spend) e gatilho automático de eficiência, controla custo comportando-se no mês."
32,17,"Ampliar reservas de instâncias até 31/03/2026, priorizando ambientes críticos e validando configurações com arquitetura em cada sprint quinzenal.",6,"Reserva pode ajudar, mas sem alvo financeiro e limite mensal, a disciplina orçamentária não está garantida"
33,17,"Consolidar relatório FinOps mensal até 31/01/2026, exibindo consumo por time e serviço com recomendações e trilhas de automação.",2,"Pode ser bem melhor. Visibilidade é útil, entretanto o controle vem de metas e gatilhos"
34,17,"Criar comitê de capacity até 31/01/2026, avaliando picos e gargalos e publicando atas de encaminhamentos para execução.",0,Governança sem métrica financeira não assegura o resultado.
